,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10172,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'btc-ecosystem']",21000000.0,19352368.0,19352368.0,False,,1,,,,2023-04-21T14:09:00.000Z,28077.916234883385,20573668008.95455,-2.5615,-0.41989079,-2.60338651,-8.44421672,-1.0697802,12.99499984,22.36462131,543374167650.6377,45.8407,589636240932.55,,2023-04-21T14:09:00.000Z,,,,,,2023-04-21 14:27:16.451485+00:00
1,1027,Ethereum,ETH,ethereum,6750,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1']",,120416479.50035524,120416479.50035524,False,,2,,,,2023-04-21T14:09:00.000Z,1907.618220057801,11441331295.234352,-2.368,-0.39667822,-3.31752177,-9.22661727,5.79867644,11.83579634,15.49661822,229708670290.09436,19.3741,229708670290.09,,2023-04-21T14:09:00.000Z,,,,,,2023-04-21 14:27:16.451485+00:00
2,825,Tether,USDT,tether,51664,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,81405748697.86789,85091735571.7474,False,,3,,,,2023-04-21T14:09:00.000Z,0.9998379065652981,34253502951.63199,-5.2332,-0.0147535,-0.02555364,-0.09403974,-0.20399632,-0.03402154,-0.04782944,81392553360.45697,6.8665,85077942760.06,,2023-04-21T14:09:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-04-21 14:27:16.451485+00:00
3,1839,BNB,BNB,bnb,1275,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1']",,155864663.04506466,155864663.04506466,False,,4,,,,2023-04-21T14:09:00.000Z,326.79453293324246,982451933.9303931,44.9926,-0.28631842,0.23975656,-1.27640373,-0.29108388,2.88270656,7.50891886,50935719760.60912,4.2971,50935719760.61,,2023-04-21T14:09:00.000Z,,,,,,2023-04-21 14:27:16.451485+00:00
4,3408,USD Coin,USDC,usd-coin,11951,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,30967951002.492382,30967951002.492382,False,,5,,,,2023-04-21T14:09:00.000Z,1.0000354073044313,5428713377.653373,5.4505,-0.00853685,0.01613975,0.01616216,0.10664802,0.00480639,0.02916614,30969047494.16114,2.6126,30969047494.16,,2023-04-21T14:09:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-04-21 14:27:16.451485+00:00
5,52,XRP,XRP,xrp,936,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,51750810378.0,99988998998.0,False,,6,,,,2023-04-21T14:09:00.000Z,0.4664992195660201,1500995080.8021045,7.4283,-0.24542193,-5.15088114,-11.80277056,4.69454126,17.62113862,13.85409388,24141712653.246094,2.0367,46649921956.6,,2023-04-21T14:09:00.000Z,,,,,,2023-04-21 14:27:16.451485+00:00
6,2010,Cardano,ADA,cardano,767,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1']",45000000000.0,34788714273.716,35711298229.443,False,,7,,,,2023-04-21T14:09:00.000Z,0.4003498097616986,437170878.11037564,4.5345,-0.18600533,-3.6045911,-8.06366384,6.19340362,-1.63273684,7.91768119,13927655141.33629,1.175,18015741439.28,,2023-04-21T14:09:00.000Z,,,,,,2023-04-21 14:27:16.451485+00:00
7,74,Dogecoin,DOGE,dogecoin,692,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,139029606383.70523,139029606383.70523,False,,8,,,,2023-04-21T14:09:00.000Z,0.0839067068549165,1014915948.6373655,-47.425,-0.03757472,-4.64694848,-6.11169609,11.85916185,-4.82152061,-3.56634779,11665516426.991982,0.9839,11665516426.99,,2023-04-21T14:09:00.000Z,,,,,,2023-04-21 14:27:16.451485+00:00
8,3890,Polygon,MATIC,polygon,665,2019-04-28T00:00:00.000Z,"['platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem']",10000000000.0,9219469069.28493,10000000000.0,False,,9,,,,2023-04-21T14:09:00.000Z,1.0415253341218549,386935097.8519425,4.4887,-0.23880244,-3.8994229,-10.83054605,-9.37104079,-30.03307338,2.66875265,9602310602.813093,0.8099,10415253341.22,,2023-04-21T14:09:00.000Z,,,,,,2023-04-21 14:27:16.451485+00:00
9,5426,Solana,SOL,solana,456,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1']",,392627348.2848523,539312704.8875339,False,,10,,,,2023-04-21T14:09:00.000Z,22.038985039045286,514522215.0415527,-17.0762,-0.2584502,-3.24422933,-10.80618729,-2.38237172,-16.45736587,-12.93628611,8653108254.769884,0.7298,11885904634.38,,2023-04-21T14:09:00.000Z,,,,,,2023-04-21 14:27:16.451485+00:00
